email_subject,email_body,is_phishing
Job Application Status,New sign-in detected from an unknown device. Verify if this was you.,0
Your Subscription Renewal,Your credit card statement is ready.,0
Your Subscription Renewal,Request to reset your password. Click the link to proceed.,0
Verify Your Email Address,Your job application status has been updated.,1
Confirm Your Participation,Important notice regarding your account.,0
Action Required: Update Your Info,Your Amazon invoice for the recent purchase is attached.,0
Congratulations! You've won a prize,Thank you for your order. Your confirmation is attached.,0
New Sign-In from Unknown Device,Action required: update your personal information.,0
New Sign-In from Unknown Device,Hurry! This offer ends soon.,0
Invoice Payment Reminder,You've received a secure document. Click to view.,0
Password Reset Request,Verify your email address to continue.,1
Action Required: Update Your Info,Your credit card statement is ready.,1
Last Chance: Special Discount Inside,Thank you for your order. Your confirmation is attached.,1
Urgent: Account Verification Required,"Regarding your recent purchase, see the details.",0
Congratulations! You've won a prize,Your invoice payment is overdue. Please pay now.,0
Bank Account Suspended,Update your payment information to avoid interruption.,0
Limited Time Offer!,New sign-in detected from an unknown device. Verify if this was you.,0
Password Reset Request,"Regarding your recent purchase, see the details.",0
Verify Your Phone Number,Your subscription is about to expire. Renew now.,0
Security Alert: Unusual Login Attempt,Thank you for your order. Your confirmation is attached.,1
Re: Your Recent Purchase,Your subscription is about to expire. Renew now.,1
Limited Time Offer!,Thank you for your order. Your confirmation is attached.,1
Limited Time Offer!,Action required: update your personal information.,1
Important: Action Required,Request to reset your password. Click the link to proceed.,1
Security Alert: Unusual Login Attempt,You have been selected as a winner! Claim your prize now.,1
Bank Account Suspended,Immediate action required. Please update your details.,0
Your Credit Card Statement,Your credit card statement is ready.,1
New Sign-In from Unknown Device,Your Amazon invoice for the recent purchase is attached.,1
Important: Action Required,Your package is on its way. Track your delivery.,1
Important: Action Required,Your package is on its way. Track your delivery.,1
Urgent: Account Verification Required,Verify your email address to continue.,0
Security Alert: Unusual Login Attempt,Important notice regarding your account.,1
Bank Account Suspended,Your bank account has been suspended. Contact us immediately.,0
Invoice Payment Reminder,Verify your phone number to keep your account secure.,1
You've received a secure document,Important notice regarding your account.,1
Security Alert: Unusual Login Attempt,Request to reset your password. Click the link to proceed.,1
Important: Action Required,Request to reset your password. Click the link to proceed.,0
Action Required: Update Your Info,This is your last chance to get a special discount.,0
You've received a secure document,Immediate action required. Please update your details.,0
Security Alert: Unusual Login Attempt,You have been selected as a winner! Claim your prize now.,1
Last Chance: Special Discount Inside,"Regarding your recent purchase, see the details.",0
Your Order Confirmation,Thank you for your order. Your confirmation is attached.,1
Password Reset Request,Important notice regarding your account.,0
Package Delivery Notification,Please confirm your participation in the event.,1
New Sign-In from Unknown Device,Your job application status has been updated.,1
You've received a secure document,Please click the link below to verify your account.,0
Package Delivery Notification,Your Amazon invoice for the recent purchase is attached.,0
Action Required: Update Your Info,"Regarding your recent purchase, see the details.",0
Last Chance: Special Discount Inside,This is your last chance to get a special discount.,0
Congratulations! You've won a prize,Verify your phone number to keep your account secure.,0
